title,type,question,A,B,C,D,answer,image,explain
FCE Mock 1,radio,"Which of the following are represent key advantages of PRS?
I. Provide a pool of funds to support retirees during retirement phase
II. Benefit to the Malaysian capital market
III. Reduce the burden on Government finances
IV. Additional source of long-term capital for economic growth",All of the above,II and III,I and IV,I and II,A,,"Which of the following are the benefits of PRS?
I. Provide a pool of funds to support retirees during retirement phase
II. Benefit to the Malaysian capital market
III. Reduce the burden on Government finances
IV. Additional source of long-term capital for economic growth"
FCE Mock 1,radio,"Mr. Farid is a young investor who would like to invest in Shariah-compliant securities. He may invest in the following products, EXCEPT:",Shares of a conventional financial institution,Shares of halal Companies,Islamic Debt instruments,Sukuk,A,,Shares of a conventional financial institution - Not Shariah-compliant
FCE Mock 1,radio,"As of 1 May 2020, Mabel owned 1,000 units of Equity Growth Fund with an NAV price per unit of RM2.00. A distribution of RM0.40 per unit was declared and paid in the form of units. Immediately after the distribution payment, the NAV price per unit of Equity Growth Fund was reduced to RM1.60. What is the total number of units Mabel owns after the distribution?",900 units,750 units,"2,000 units","1,250 units",D,,
FCE Mock 1,radio,"The qualitative analysis of the performance of a unit trust scheme (UTS) include the assessment on the following items, EXCEPT:",Investment management style,UTMC credibility,Service aspects,UTMC's Director Anti Money Laundering Act (AMLA) checking,D,,"The qualitative analysis of the performance of a UTS include the assessment on the following items, EXCEPT: UTMC's Director AMLA checking"
FCE Mock 1,radio,"Jason, who is a UTS and PRS consultant, has executed a transaction by using a form that was pre-signed by her client. Which of the following core principle of the FIMM's Code of Ethics did Jason breach?",Honesty and Integrity,Professionalism,Avoidance of conflict of interest,Disclosure of information,B,,Professionalism
FCE Mock 1,radio,"Which of the following are the risks associated with borrowing to invest in UTS?
I. Margin call
II. Interest rate fluctuations
III. Default in loan repayment
IV. Exposure to political or country-specific instability",All of the above,"II, III and IV","I, II and III",I and III,C,,
FCE Mock 1,radio,"Select the CORRECT examples of changes to a fund that may materially prejudice the interests of unit holders
I. change of the nature or objective of the fund
II. change in distribution policy
III. increase in fees or charges
IV. switching to a new outsourced IT vendor",II and III,All of the above,"I, II, and III",I and II,C,,"Examples of changes to a fund that may materially prejudice the Interests of unit holders
I. change of the nature or objective of the fund
II. change in distribution policy
III. increase in fees or charges"
FCE Mock 1,radio,"Which documents outline the regulatory requirements pertaining to the disclosure documents of a Private Retirement Scheme(PRS)?
I. Capital Markets and Services Act 2007
II. Guidelines on Prospectus for Shares and Debentures
III. Guidelines on Private Retirement Schemes
IV. Capital Markets and Services (Private Retirement Scheme Industry) Regulations 2012",III and IV,I and III,"I, III and IV",All of the above,C,,"Which documents outline the regulatory requirements pertaining to the disclosure documents of a Private Retirement Scheme?
I. Capital Markets and Services Act 2007
III. Guidelines on Private Retirement Schemes
IV. Capital Markets and Services (Private Retirement Scheme Industry) Regulations 2012"
FCE Mock 1,radio,"Which of the following statements are TRUE?
I. UTS/PRS investors do not purchase the securities in the portfolio directly
II. Ownership of the portfolio in a UTS is divided into units of entitlement and each investor is known as a “unit holder”
III. Investments within the UTS/PRS portfolio can increase or decrease in value, as such the value or “unit price” of each unit increases or decreases accordingly
IV. UTS/PRS investors are beneficiaries under a trust set up by the UTMC/PRS Providers","I, II and IV",All of the above,"I, II and III",I and IV,B,,"Correct statements:
I. UTS/PRS investors do not purchase the securities in the portfolio directly
II. Ownership of the portfolio in a UTS is divided into units of entitlement and each investor is known as a “unit holder”
III. Investments within the UTS/PRS portfolio can increase or decrease in value, as such the value or “unit price” of each unit increases or decreases accordingly
IV. UTS/PRS investors are beneficiaries under a trust set up by the UTMC/PRS Providers"
FCE Mock 1,radio,"Under the Securities Commission Act 1993 (SCA), the Securities Commission Malaysia (SC) is empowered to perform which of the following functions?
I. Developing the overall capital market and its market segments
II. Ensuring proper conduct of all market participants
III. Ensure listed companies consistently achieve their financial and revenue targets
IV. Approving authority for corporate bond issues","II, III and IV","I, II and III",All of the above,"I, II and IV",D,,Ensuring companies and businesses meet their revenue targets - is NOT the regulatory function of the SC.
FCE Mock 1,radio,"Which of the following statements about Conflict of Interest under FIMM’s Code of Ethics are TRUE?
I. Consultants should conceal details of any conflict from their upline and distributor to prevent confusion
II. Where conflict of interest cannot be avoided, consultants have a responsibility to disclose the conflict to their investors in writing
III. Consultants must prioritise investors' interest in the event of conflict
IV. Only actual conflicts of interest, not perceived ones, need to be avoided",III and IV,All of the above,"II, III and IV",II and III,D,,"Where conflict of interest cannot be avoided, consultants have a responsibility to disclose the conflict to their investors in writing;
Consultants must prioritise investors' interest in the event of conflict"
FCE Mock 1,radio,"When FIMM receives a complaint from an investor, it may initiate an investigation. Which of the following actions is FIMM not empowered to take?
I. Require the consultant, distributor, or their representatives to provide a written explanation to address allegations
II. Require the Consultant, Distributor and the employees and agents of Distributor to freeze the investment account of the investor
III. Record statements from consultants, distributors, or other individuals who may assist with the investigation
IV. Request and obtain documents, books, records, or copies relevant to the investigation",I,III and IV,II,II and III,C,,"FIMM will carry out an investigation upon receiving a complaint from an investor. The following are the steps that FIMM may take during its investigation, EXCEPT: Require the Consultant, Distributor and the employees and agents of Distributor to freeze the investment account of the investor"
FCE Mock 1,radio,Which of the following statement about trustee fee and custody fee is typically CORRECT?,Only trustee fee is charged to the UTMC/PRS Provider whereas custody fee is charged to the UTS/PRS,UTMC/PRS Provider pay for both trustee fee and custody fee,Unit holders pay for both trustee fee and custody fee,Both trustee fee and custody fee are charged to the UTS/PRS,D,,
FCE Mock 1,radio,"Bond Fund reported the following information as at 31 Dec 2025: Gross assets: RM500,000 Net assets: RM490,000 Number of units in circulation: 100,000 What is the unit price for Bond Fund?",RM0.10 ,RM1.00 ,RM5.00 ,RM4.90 ,D,,"Calculation based on net assets, not gross: Unit Price = Net Assets ÷ Units in Circulation = RM490,000 ÷ 100,000 = RM4.90"
FCE Mock 1,radio,"Areas of financial planning include____
I. Risk management and insurance planning
II. Investment planning
III. Retirement and estate planning
IV. Time management","I, III and IV","I, II and III",I and II,"I, II and IV",B,,
FCE Mock 1,radio,"Farah is a UTS and PRS Consultant. On her social media page, she posted the following: ""Contact me NOW if you need help from a professional financial planner to start investing in UTS and PRS"" Is this posting allowed? Please select the most appropriate reason for your answer.","Yes, Farah is allowed to use her status as a UTS and PRS consultant to market other products","No, Farah's posting is not allowed because she is misrepresenting herself as a financial planner","Yes, Farah's posting is allowed because as a consultant she is very knowledgeable about investment products","No, Farah is not allowed to use her social media account to market UTS and PRS",B,,
FCE Mock 1,radio,"Which of the following statements are TRUE?
I. Personal financial planning covers a comprehensive approach where advice is given on an ongoing basis
II. Personal financial planning involves an understanding of a client's financial affairs, goals and personal objectives
III. A financial planner must be an expert in all technical aspects to produce an appropriate personal financial plan
IV. Personal financial planning generally involves dealing with other professionals appointed by a client","I, II and III","I, II and IV",All of the above,I and II,B,,"A financial planner cannot be an expert in all the technical aspects necessary to produce an appropriate personal financial plan. A financial planner must interact with other professional advisers with whom the client currently has a relationship. For example, a client may have appointed an accountant, a taxation adviser, stockbroker and lawyer. Liaison with all these professionals would be an important part of ensuring that the client’s personal financial plan can be completed."
FCE Mock 1,radio,"_____________ includes the following criteria?
I. An individual whose total net personal assets, or total net joint assets with his or her spouse, exceeding three million ringgit or its equivalent in foreign currencies, excluding the value of the individual's primary residence
II. A corporation with total net assets exceeding ten million ringgit or its equivalent in foreign currencies based on the last audited accounts",Wealthy Investors,Sophisticated Investors,Angel Investors,Premium Investors,B,,Sophisticated Investors
FCE Mock 1,radio,"An investment-linked fund is _______
I. Managed and promoted by a unit trust management company
II. Offered with a life insurance policy
III. Purchased with a single premium (lump sum investment) or with regular premium payments
IV. Required to comply with BNM's rules and regulations","I, II, III and IV",I and IV,II and III,"II, III and IV",D,,An investment-linked fund is NOT managed and promoted by a unit trust management company
FCE Mock 1,radio,"UTS and PRS have the following characteristics where both of them ________
I. Provide diversification of asset
II. Require a Trustee to look after the interest of the investors
III. Involve pooling of savings by investors where these savings are invested according to the deed of the fund
IV. Are schemes that encourage investors to make long-term savings and investment decisions",All of the above,I and II,III and IV,"I, II, and III",A,,
FCE Mock 1,radio,"Ali is a licensed financial planner who had advised her client, Sarah to invest in a balanced UTS. While Sarah agreed to the advice, Ali noticed that Sarah seemed hesitant and not convinced by this suggestion. What should Ali do?",Proceed with the account opening for Sarah to subscribe to the balanced UTS,To calmly and gently ask Sarah if she has any concerns regarding investing in a balanced UTS,To persuade Sarah that her advice is good and will help Sarah to meet her financial goals,To refuse to follow up or proceed with anything until Sarah explains her behaviour,B,,To calmly and gently ask Sarah if she has any concerns regarding investing in a balanced UTS
FCE Mock 1,radio,"Luqman is a Consultant who has taken a portion of his client’s money to make a personal online transaction. However, due to a network error, the online transaction was not successful. Did Luqman commit a misconduct? Please select the most appropriate reason for your answer.","Yes, he did because he committed forgery","No, he did not because the computing error prevented his from misappropriating his client’s money","Yes, she did because he misappropriated his client’s money regardless of the unsuccessful online transaction","No, he did not because his conduct did not cause the client to be worse off",C,,Any attempt (even unsuccessful) is considered as an action of misconduct
FCE Mock 1,radio,"Below is the particulars of Fatimah investment holding in a UTS/PRS as at 1 June 2025: (a) 2,000 units (b) NAV per unit: RM1.50 (c) A distribution of RM0.50 per unit was declared and paid on the same date in the form of fund units. How many number of units did Fatimah own after the distribution?","1,000 units","2,000 units","3,000 units","2,500 units",C,,"Distribution = 2,000 units x RM0.50 = RM1,000
NAV per unit after distribution = RM1.50 – RM0.50 = RM1.00
Units to be issued from the distribution = RM1,000 / RM1.00 = 1,000
Total units = 2,000 units + 1,000 units = 3,000 units"
FCE Mock 1,radio,"The Consultants are required to comply with minimum standards as set out in the SC's Guidelines on Advertising for Capital Market Products and Related Services, include:
I. Provide clear, fair and balanced information
II. Treat investors fairly at all times
III. Ensure information in advertisements are consistent with information disclosed in prospectus, disclosure document and product highlights sheet
IV. Take reasonable measures to inform investors that the advertisement is subject to any relevant warning, disclaimer, qualification or terms and conditions","II, III and IV",All of the above,"I, II and III","I, II and IV",B,,"The Consultants are required to comply with minimum standards as set out in the SC's Guidelines on Advertising for Capital Market Products and Related Services, include:
I. Provide clear, fair and balanced information
II. Treat investors fairly at all times
III. Ensure information in advertisements are consistent with information disclosed in prospectus, disclosure document and product highlights sheet
IV. Take reasonable measures to inform investors that the advertisement is subject to any relevant"
FCE Mock 1,radio,"Please refer to the extracted financial statement for Growth Advance Fund, below: · Expenses as at 30 November 2025 · Management Fee: RM9,036,940 · Trustee Fee: RM302,165 · Auditors Fee: RM8,600 · Bank charges and other fees: RM4,850,000 The Management Expense Ratio (MER) of the Fund for the year ended 30 November 2025 was 1.56% What is the average fund size of Growth Advance Fund during the year?","RM321,484,198.00 ","RM699,211,858.98 ","RM910,109,294.87 ","RM498,660,576.92 ",C,,"Working formula = Total Expenses / Average Fund Size x 100% = 1.56%
Average Fund Size = Total Expenses / 1.56% x 100%
= RM14,197,705 / 1.56% x 100% = RM910,109,294.87"
FCE Mock 1,radio,"Edmund recently became a registered unit trust consultant, which is his first and only qualification. In his social media page, he marketed himself as an investment advisor to attract potential investors. Did Edmund violate FIMM's Code of Ethics?","No. As a registered unit trust consultant, he is qualified to be an investment guru.",No. Everyone has the right to post whatever they want in social media.,"Yes. As a unit trust consultant, he is required to comply with FIMM's Code of Ethics. Therefore, he is not allowed to use any unauthorised designations, titles or qualifications.","Yes. As a unit trust consultant, he is not allowed to post anything related to unit trust in social media.",C,,
FCE Mock 1,radio,Which of the following statement is TRUE?,A Consultant is not allowed to disclose any documents or information to anyone at all times,A Consultant and Distributor shall disclose the documents or information in an open and co-operative manner as and when required by FIMM or other regulatory authorities,A Consultant is only allowed to disclose documents or information in an open and co-operative manner as and when required by FIMM or other regulatory authorities after getting permission from his/her Distributor,Only Distributors are allowed to disclose documents or information in an open and co-operative manner as and when required by FIMM or other regulatory authorities upon obtaining approval from the Securities Commission Malaysia (SC),B,,
FCE Mock 1,radio,"""I can reduce my overall risk by investing in different asset classes."" Which of the following concept supports the above statement?",Diversification,None of the above,Dollar cost averaging,Liquidity management,A,,Diversification
FCE Mock 1,radio,Mohan is a 47-year-old was senior manager. His company makes a monthly contribution to the employees' PRS accounts. Mohan chose a PRS Provider but did not select a specific PRS fund. Which fund will Mohan's monthly contribution be automatically allocated to?,Moderate Fund,Balanced Fund,Growth Fund,Conservative Fund,A,,Moderate Fund
FCE Mock 1,radio,"Fees and charges that are directly applied to investors are:
I. Initial service charge
II. Annual management fee
III. Switching and transfer fees
IV. Exit fee","I, II and III",I and II,I and IV,"I, III and IV",D,,Annual management fee - INDIRECT FEE
FCE Mock 1,radio,"Why do UTMCs declare unit split?
I. To reduce the NAV price per unit
II. To attract investors
III. To increase the number of units in the fund
IV. To increase the profit margins from sale of units","I, III and IV",I and II,"II, III and IV","I, II and III",B,,Note: to increase the number of units in the fund is NOT the reason to declare unit split
FCE Mock 1,radio,"Which of the followings are characteristics of a Shariah-compliant Scheme?
I. A Shariah-compliant Scheme can meet its investment objectives as long as it is within the scope of Shariah principles
II. The investment strategy would need to be aligned with the objective of a Shariah-compliant fund
III. The Scheme Provider must ensure that all daily operations of a Shariah-compliant Scheme comply with all the requirements of the Securities Commission Malaysia as well as Shariah requirements
IV. Compliance and supervisory function relating to Shariah matters are under the purview of the Schemes' Shariah Adviser/Committee",II and III,All of the above,I and II,III and IV,B,,"Characteristics of a Shariah-compliant Scheme:
I. A Shariah-compliant Scheme can meet its investment objectives as long as it is within the scope of Shariah principles
II. The investment strategy would need to be aligned with the objective of a Shariah-compliant fund
III. The Scheme Provider must ensure that all daily operations of a Shariah-compliant Scheme comply with all the requirements of the Securities Commission Malaysia as well as Shariah requirements
IV. Compliance and supervisory function relating to Shariah matters are under the purview of the Schemes' Shariah Adviser/Committee"
FCE Mock 1,radio,Which of the following is the FIRST STEP in financial planning?,Establish client-planner relationship,Analyse and evaluate client's financial status,Understand client and gather data,Develop and present financial planning recommendations,A,,Establish client-planner relationship
FCE Mock 1,radio,"Which of the following events can cause conditionally vested units to become unconditional?
I. Cessation of the employee's employment
II. Merger or acquisition of the employer by another entity
III. Termination of the vesting schedule
IV. Death of the employee",All of the above,"I, II and IV","I, III and IV",I and II,A,,"The following events can cause conditionally vested units to become unconditional:
I. Cessation of the employee's employment
II. Merger or acquisition of the employer by another entity
III. Termination of the vesting schedule
IV. Death of the employee
Note: Cessation of the employee's employment (under various circumstance), kindly refer to study guide, point: 7B.145 (page 7B-27)"
FCE Mock 1,radio,"Which of the following roles must a Consultant do to help their clients in their investment decisions?
I. Educate clients that investment decisions are made based on investment strategies aimed at meeting financial goals
II. Explain to clients the risk, liquidity and tax implication of the investments
III. Advise clients on the credit risk exposure and the costs involved
IV. Discuss and recommend appropriate UTS and PRS products",All of the above,"I, II and III",I and II,"I, II and IV",A,,"roles of a Consultant:
I. Educate clients that investment decisions are made based on investment strategies aimed at meeting financial goals
II. Explain to clients the risk, liquidity and tax implication of the investments
III. Advise clients on the credit risk exposure and the costs involved
IV. Discuss and recommend appropriate UTS and PRS products"
FCE Mock 1,radio,"A 'collective investment scheme' (CIS) is _______
I. a generic term for a range of pooled investment vehicles available to investors
II. where a number of investors with similar investment objectives pool their savings and entrust it to a professional fund manager who manages and invests the pool of money in a range of assets or investment instruments to produce a return that is shared by those investors
III. also known as a mutual fund in other countries
IV. a method to acquire units from an existing unit holder",All of the above,II and III,"I, II and III",I only,C,,
FCE Mock 1,radio,"The following are procedures that need to be undertaken by a PRS Provider before registering an investor, EXCEPT:",Establishing member's true identity,Verifying member's medical history,Verifying the identification given,Establishing client's investment objectives,B,,"The following are procedures that need to be undertaken by a PRS Provider before registering an investor, EXCEPT: verifying member's medical history"
FCE Mock 1,radio,"The deed sets out the salient operational aspects of Unit Trust Scheme (UTS) including:
I. Fees and charges
II. Unit Pricing
III. Calculation of Net Asset Value (NAV)
IV. Dividend percentage","I, II and III",All of the above,"I, II and IV","II, III and IV",A,,"The deed sets out the salient operational aspects of Unit Trust Scheme (UTS) including:
I. Fees and charges
II. Unit Pricing
III. Calculation of Net Asset Value (NAV)"
